V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
1,90,0,1,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,90,0,1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,0,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,90,0,1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,90,0,2,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.5,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,0,1,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,90,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.5,90,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,90,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
