V_mag,V_angle,Plane_Angle,R_legs,Tau_CR,,
1,90,0,0,0.266,1,
1.5,90,0,0.5,0.266,,
2,90,0,1,0.255,,
2.5,90,0,1,0.255,,
3,90,0,1,0.255,,
3.5,90,0,1,0.265,,
4,90,0,0.75,0.265,,
1,85,0,0,0.299,,
1.5,85,0,0.5,0.255,,
2,85,0,1,0.251,,
2.5,85,0,1,0.257,,
3,85,0,1,0.253,,
3.5,85,0,1,0.269,,
4,85,0,1,0.265,,
1,80,0,0,0.296,,
1.5,80,0,0,0.296,,
2,80,0,0.5,0.255,,
2.5,80,0,1,0.255,,
3,80,0,1,0.254,,
3.5,80,0,1,0.254,,
4,80,0,1,0.264,,
1,75,0,0,0.268,,
1.5,75,0,0,0.278,,
2,75,0,0.5,0.257,,
2.5,75,0,0.5,0.257,,
3,75,0,1,0.257,,
3.5,75,0,1,0.257,,
4,75,0,0.75,0.248,,
1,70,0,0.5,0.242,1,
1.5,70,0,0.5,0.248,,
2,70,0,0.5,0.253,,
2.5,70,0,0.5,0.26,,
3,70,0,1,0.247,,
3.5,70,0,1,0.254,,
4,70,0,1,0.251,,
1,65,0,1,0.225,,
1.5,65,0,1,0.244,,
2,65,0,1,0.242,,
2.5,65,0,1,0.251,,
3,65,0,1,0.24,,
3.5,65,0,1,0.249,,
4,65,0,1,0.239,,
1,60,0,1,0.21,,
1.5,60,0,1,0.236,,
2,60,0,1,0.232,,
2.5,60,0,1,0.248,,
3,60,0,1,0.234,,
3.5,60,0,1,0.241,,
4,60,0,1,0.237,,
1,55,0,0,0.123,,
1.5,55,0,0,0.161,1,
2,55,0,1,0.229,,
2.5,55,0,1,0.237,,
3,55,0,1,0.236,,
3.5,55,0,1,0.234,,
4,55,0,1,0.232,,
1,50,0,0,0.136,,
1.5,50,0,0,0.159,,
2,50,0,0,0.113,1,
2.5,50,0,1,0.247,,
3,50,0,1,0.221,,
3.5,50,0,1,0.235,,
4,50,0,0.75,0.209,,
1,45,0,0,0.084,,
1.5,45,0,0,0.047,,
2,45,0,0,0.071,,
2.5,45,0,0.75,0.185,,
3,45,0,1,0.209,,
3.5,45,0,1,0.232,,
4,45,0,0.75,0.216,,
1,40,0,0,0.072,0.75,body_contact
1.5,40,0,0,0.068,0.75,body_contact
2,40,0,0,0.023,0.75,body_contact
2.5,40,0,0,0.109,1,
3,40,0,1,0.226,,
3.5,40,0,1,0.242,,
4,40,0,0.75,0.209,,
1,35,0,0,0.072,,
1.5,35,0,0,0.054,0.75,body_contact
2,35,0,0,0.046,0.75,body_contact
2.5,35,0,0,0.078,,
3,35,0,0.75,0.171,,
3.5,35,0,1,0.213,,
4,35,0,1,0.216,,
1,30,0,0,0.071,,
1.5,30,0,0,0.06,0.75,body_contact
2,30,0,0,0.05,0.75,body_contact
2.5,30,0,0,0.031,0.75,body_contact
3,30,0,1,0.212,,
3.5,30,0,1,0.202,,
4,30,0,1,0.213,,
1,25,0,1,0.102,,
1.5,25,0,0,0.063,0.75,body_contact
2,25,0,0,0.114,,
2.5,25,0,0.75,0.166,,
3,25,0,1,0.228,,
3.5,25,0,1,0.249,,
4,25,0,0.75,0.191,,
1,20,0,1,0.139,,
1.5,20,0,1,0.124,,
2,20,0,0,0.057,0.75,body_contact
2.5,20,0,1,0.182,,
3,20,0,1,0.228,,
3.5,20,0,1,0.222,,
4,20,0,1,0.237,,
1,15,0,0,0.203,,
1.5,15,0,0,0.243,,
2,15,0,1,0.211,,
2.5,15,0,1,0.18,,
3,15,0,1,0.23,,
3.5,15,0,1,0.211,,
4,15,0,0.75,0.132,,
