V_mag,V_angle,Plane_Angle,R_legs,Tau_CR,
1,90,0,0,0.255,
1.5,90,0,1,,
2,90,0,1,,
2.5,90,0,1,,
3,90,0,0.75,,
3.5,90,0,0.75,,
4,90,0,0.75,,
1,85,0,0,,
1.5,85,0,0.5,,
2,85,0,1,,
2.5,85,0,1,,
3,85,0,1,,
3.5,85,0,0.75,0.249,
4,85,0,1,0.254,
1,80,0,0,0.248,
1.5,80,0,0.5,0.246,
2,80,0,1,0.246,
2.5,80,0,1,0.245,
3,80,0,1,0.254,
3.5,80,0,1,0.254,
4,80,0,1,0.254,
1,75,0,0,0.249,
1.5,75,0,0.5,0.248,
2,75,0,0.5,0.248,
2.5,75,0,1,0.247,
3,75,0,1,0.247,
3.5,75,0,1,0.247,
4,75,0,1,0.247,
1,70,0,0,0.251,
1.5,70,0,0.5,0.248,
2,70,0,0.5,0.254,
2.5,70,0,0.5,0.25,
3,70,0,1,0.247,
3.5,70,0,0.5,0.253,
4,70,0,1,0.25,
1,65,0,0,0.245,
1.5,65,0,0.5,0.254,
2,65,0,0.5,0.253,
2.5,65,0,0.5,0.252,
3,65,0,1,0.251,
3.5,65,0,1,0.25,
4,65,0,1,0.249,
1,60,0,0,0.252,
1.5,60,0,0.5,0.247,
2,60,0,0.5,0.252,
2.5,60,0,1,0.248,
3,60,0,1,0.254,
3.5,60,0,1,0.251,
4,60,0,1,0.247,
1,55,0,0,0.246,
1.5,55,0,0,0.254,
2,55,0,1,0.25,
2.5,55,0,1,0.247,
3,55,0,1,0.246,
3.5,55,0,1,0.254,
4,55,0,1,0.252,
1,50,0,0,0.25,
1.5,50,0,0,0.25,
2,50,0,1,0.253,
2.5,50,0,1,0.247,
3,50,0,1,0.251,
3.5,50,0,1,0.245,
4,50,0,1,0.249,
1,45,0,0,0.248,
1.5,45,0,0,0.253,
2,45,0,1,0.252,
2.5,45,0,1,0.245,
3,45,0,1,0.249,
3.5,45,0,1,0.252,
4,45,0,1,0.246,
1,40,0,0,0.254,
1.5,40,0,0,0.249,
2,40,0,1,0.253,
2.5,40,0,1,0.249,
3,40,0,1,0.246,
3.5,40,0,1,0.252,
4,40,0,1,0.249,
1,35,0,0,0.247,
1.5,35,0,0,0.248,
2,35,0,1,0.246,
2.5,35,0,1,0.248,
3,35,0,1,0.251,
3.5,35,0,1,0.253,
4,35,0,1,0.245,
1,30,0,0,0.252,
1.5,30,0,0,0.252,
2,30,0,0,0.251,
2.5,30,0,1,0.251,
3,30,0,1,0.252,
3.5,30,0,1,0.252,
4,30,0,1,0.253,
1,25,0,0,0.254,
1.5,25,0,0,0.253,
2,25,0,0,0.254,
2.5,25,0,1,0.245,
3,25,0,1,0.247,
3.5,25,0,1,0.249,
4,25,0,1,0.251,
1,20,0,0,0.253,
1.5,20,0,0,0.254,
2,20,0,0,0.248,
2.5,20,0,0,0.252,
3,20,0,0,0.247,1
3.5,20,0,0,0.252,
4,20,0,1,0.247,
1,15,0,0,0.249,
1.5,15,0,0,0.254,
2,15,0,0,0.251,
2.5,15,0,0,0.25,
3,15,0,0,0.25,
3.5,15,0,0,0.25,
4,15,0,0,0.251,
