V_mag,V_angle,Plane_Angle,R_legs,Tau_CR,
1,90,0,1,0.227,
1.5,90,0,1,0.216,
2,90,0,1,0.216,
2.5,90,0,0.75,0.215,
3,90,0,0.75,0.225,
3.5,90,0,0.75,0.225,
4,90,0,0.75,0.225,
1,85,0,1,0.229,
1.5,85,0,1,0.214,
2,85,0,1,0.231,
2.5,85,0,0.75,0.237,
3,85,0,0.75,0.222,
3.5,85,0,0.75,0.229,
4,85,0,0.75,0.225,
1,80,0,1,0.227,
1.5,80,0,1,0.216,
2,80,0,1,0.225,
2.5,80,0,1,0.235,
3,80,0,0.75,0.234,
3.5,80,0,0.75,0.224,
4,80,0,0.75,0.234,
1,75,0,1,0.237,
1.5,75,0,1,0.197,
2,75,0,1,0.227,
2.5,75,0,0.75,0.217,
3,75,0,0.75,0.227,
3.5,75,0,0.75,0.227,
4,75,0,0.75,0.227,
1,70,0,1,0.192,
1.5,70,0,0.75,0.188,
2,70,0,0.75,0.208,
2.5,70,0,0.75,0.21,
3,70,0,0.75,0.217,
3.5,70,0,0.75,0.224,
4,70,0,0.75,0.221,
1,65,0,1,0.195,
1.5,65,0,1,0.214,
2,65,0,0.75,0.192,
2.5,65,0,0.75,0.211,
3,65,0,0.75,0.22,
3.5,65,0,0.75,0.219,
4,65,0,0.75,0.219,
1,60,0,0,0.14,
1.5,60,0,0,0.165,
2,60,0,0.75,0.182,
2.5,60,0,1,0.218,
3,60,0,0.75,0.214,
3.5,60,0,0.75,0.201,
4,60,0,0.75,0.217,
1,55,0,0,0.124,
1.5,55,0,0,0.141,
2,55,0,0.75,0.059,camera touch
2.5,55,0,0.75,0.187,
3,55,0,0.75,0.205,
3.5,55,0,0.75,0.204,
4,55,0,0.75,0.202,
1,50,0,0,0.136,
1.5,50,0,0.75,0.049,camera touch
2,50,0,0.75,0.064,camera touch
2.5,50,0,0,0.167,
3,50,0,0.75,0.201,
3.5,50,0,0.75,0.205,
4,50,0,0.75,0.21,
1,45,0,0.75,0.066,camera touch
1.5,45,0,0.75,0.048,camera touch
2,45,0,0.75,0.021,camera touch
2.5,45,0,0,0.075,
3,45,0,0.75,0.199,
3.5,45,0,0.75,0.182,
4,45,0,0.75,0.206,
1,40,0,0.75,0.063,camera touch
1.5,40,0,0.75,0.056,camera touch
2,40,0,0.75,0.023,camera touch
2.5,40,0,0.75,0.019,camera touch
3,40,0,0,0.136,
3.5,40,0,0.75,0.172,
4,40,0,0.75,0.209,
1,35,0,0,0.073,camera touch
1.5,35,0,0.75,0.056,camera touch
2,35,0,0,0.079,camera touch
2.5,35,0,0,0.068,camera touch
3,35,0,0,0.141,
3.5,35,0,0.75,0.183,
4,35,0,0.75,0.186,
1,30,0,0.75,0.032,camera touch
1.5,30,0,0.75,0.052,camera touch
2,30,0,0,0.1,camera touch
2.5,30,0,0.75,0.032,camera touch
3,30,0,0,0.152,
3.5,30,0,0.75,0.182,
4,30,0,0.75,0.174,
1,25,0,0,0.075,
1.5,25,0,0.75,0.054,camera touch
2,25,0,0,0.114,
2.5,25,0,0.75,0.026,camera touch
3,25,0,1,0.228,
3.5,25,0,1,0.199,
4,25,0,0.75,0.171,
1,20,0,1,0.141,
1.5,20,0,1,0.123,
2,20,0,0.75,0.047,camera touch
2.5,20,0,0,0.122,
3,20,0,0.75,0.157,
3.5,20,0,0.75,0.142,
4,20,0,0,0.127,
1,15,0,0,0.182,
1.5,15,0,0,0.242,
2,15,0,1,0.122,
2.5,15,0,1,0.18,
3,15,0,1,0.23,
3.5,15,0,1,0.211,
4,15,0,0,0.131,
