V_mag,V_angle,Plane_Angle,Trial_num,--,Pad_Connections,BodyContact,ForelegContact,HindlegContact,--,a_Trg_trg,a_Rot_trg,Vel_mag_B_O_trg,Vel_angle_B_O_trg,Vel_mag_B_P_trg,Vel_angle_B_P_trg,Tau_CR_trg,Tau_CM_trg,Theta_x_CM_trg,Tau_DH_trg,Tau_trg,Theta_x_trg,D_perp_CR_trg,D_perp_trg,--,Phi_B_O_impact,Phi_B_P_impact,Omega_B_O_impact,Vel_B_P_impact_x,Vel_B_P_impact_z,Impact_Magnitude,Force_Impact_x,Force_Impact_y,Force_Impact_z,--,reward,reward_vals,NN_Output_trg,a_Rot_scale,--,4_Leg_NBC,4_Leg_BC,2_Leg_NBC,2_Leg_BC,0_Leg_NBC,0_Leg_BC
2.0,15.0,0.0,0,--,0,False,False,False,--,0.639,-85.354,1.996,15.023,1.996,15.023,0.2,0.463,8.05,0.669,0.602,6.189,0.103,0.311,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.041,[0.982 0.    0.    0.    0.    0.    0.   ],[ 0.648 -0.093  0.011  0.01 ],[-90. -80.],--,0,0,0,0,1,0
2.0,20.0,0.0,0,--,0,False,False,False,--,0.685,-86.656,1.996,19.967,1.996,19.967,0.223,0.423,6.508,0.685,0.529,5.207,0.152,0.36,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.052,[0.984 1.    0.    0.    0.    0.    0.   ],[ 0.685 -0.243  0.006  0.005],[-90. -80.],--,0,0,0,0,1,0
2.0,25.0,0.0,0,--,3,False,True,False,--,0.646,-86.717,1.996,24.919,1.996,24.919,0.222,0.384,5.611,0.583,0.469,4.587,0.186,0.395,--,-124.933,124.933,-18.044,0.792,0.063,0.0,0.0,0.0,0.0,--,0.888,[0.992 1.    0.792 0.917 0.742 0.742 1.   ],[ 0.642 -0.221  0.009  0.01 ],[-90. -80.],--,1,0,0,0,0,0
2.0,30.0,0.0,0,--,0,False,False,False,--,0.566,-86.827,1.996,29.947,1.996,29.947,0.243,0.379,4.579,0.55,0.451,3.846,0.242,0.45,--,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,--,0.052,[0.983 1.    0.    0.    0.    0.    0.   ],[ 0.592 -0.36   0.01   0.012],[-90. -80.],--,0,0,0,0,1,0
2.0,35.0,0.0,0,--,3,False,True,False,--,0.571,-86.643,1.998,34.979,1.998,34.979,0.229,0.348,4.109,0.475,0.411,3.48,0.262,0.47,--,-124.818,124.818,-18.025,0.62,0.367,0.0,0.0,0.0,0.0,--,0.85,[0.995 1.    0.603 0.752 0.743 0.74  1.   ],[ 0.574 -0.328  0.011  0.015],[-90. -80.],--,1,0,0,0,0,0
2.0,40.0,0.0,0,--,3,False,True,False,--,0.561,-86.486,1.998,39.991,1.998,39.991,0.228,0.334,3.564,0.438,0.391,3.052,0.293,0.501,--,-124.567,124.567,-17.991,0.517,0.506,0.0,0.0,0.0,0.0,--,0.836,[0.996 1.    0.58  0.64  0.745 0.737 1.   ],[ 0.543 -0.324  0.014  0.02 ],[-90. -80.],--,1,0,0,0,0,0
2.0,45.0,0.0,0,--,3,False,True,False,--,0.506,-86.18,1.998,45.014,1.998,45.014,0.218,0.314,3.185,0.391,0.365,2.74,0.308,0.516,--,-113.903,113.903,-17.547,0.468,0.758,0.0,0.0,0.0,0.0,--,0.784,[0.999 1.    0.468 0.477 0.821 0.59  1.   ],[ 0.545 -0.244  0.014  0.021],[-90. -80.],--,1,0,0,0,0,0
2.0,50.0,0.0,0,--,3,False,True,False,--,0.521,-85.378,2.0,50.039,2.0,50.039,0.209,0.298,2.816,0.341,0.344,2.432,0.32,0.528,--,-112.737,112.737,-17.374,0.356,0.874,0.0,0.0,0.0,0.0,--,0.766,[0.999 1.    0.354 0.447 0.829 0.574 1.   ],[ 0.531 -0.047  0.015  0.027],[-90. -80.],--,1,0,0,0,0,0
2.0,55.0,0.0,0,--,3,False,True,False,--,0.51,-85.181,1.999,55.029,1.999,55.029,0.223,0.306,2.286,0.331,0.35,1.999,0.365,0.573,--,-112.442,112.442,-17.331,0.222,0.978,0.0,0.0,0.0,0.0,--,0.77,[1.    1.    0.42  0.42  0.831 0.57  1.   ],[ 0.5   -0.019  0.018  0.036],[-90. -80.],--,1,0,0,0,0,0
2.0,60.0,0.0,0,--,4,False,True,False,--,0.533,-84.516,2.001,60.053,2.001,60.053,0.212,0.29,1.984,0.313,0.332,1.736,0.367,0.576,--,-111.475,111.475,-17.188,0.088,1.071,0.0,0.0,0.0,0.0,--,0.748,[0.999 1.    0.264 0.395 0.837 0.557 1.   ],[0.509 0.09  0.017 0.037],[-90. -80.],--,1,0,0,0,0,0
