Plane_Angle,V_angle,V_mag
0,90,1
0,90,1
0,90,3.524
0,90,1.894
0,90,1.972
0,90,2.662
0,90,1.929
0,90,3.769
0,90,1.531
0,90,2.078
0,90,3.421
0,90,1.657
0,90,3.611
0,90,1.708
0,90,1.811
0,90,1.34
0,90,3.018
0,90,2.33
0,90,1.899
0,90,2.632
0,90,1.354
0,90,3.286
0,90,1.785
0,90,2.127
0,90,3.15
0,90,2.713
0,90,3.445
0,90,2.806
0,90,1.212
0,90,1.805
0,90,1.674
0,90,1.73
0,90,3.062
0,90,1.359
0,90,1.883
0,90,1.272
0,90,2.089
0,90,1.21
0,90,2.245
0,90,2.029
0,90,3.158
0,90,2.764
0,90,2.112
0,90,1.173
0,90,3.668
0,90,1.475
0,90,3.647
0,90,3.248
0,90,4
0,90,4
