Plane_Angle,V_angle,V_mag
0,90,1
0,90,1.59
0,90,1.6
0,90,1.82
0,90,1.9
0,90,1.7
0,90,1.7
0,90,1.26
0,90,1.23
0,90,1.17
0,90,1.1
0,90,1.77
0,90,1.94
0,90,1.26
0,90,1.38
0,90,1.46
0,90,1.47
0,90,1.67
0,90,1.7
0,90,1.38
0,90,1.54
0,90,1.09
0,90,1.27
0,90,1.05
0,90,1.5
0,90,1.72
0,90,1.78
0,90,1.78
0,90,1.97
0,90,1.63
0,90,1.43
0,90,1.38
0,90,1.17
0,90,1.68
0,90,1.88
0,90,1.43
0,90,1.9
0,90,1.58
0,90,1.37
0,90,1.88
0,90,1.8
0,90,1.18
0,90,1.87
0,90,1.66
0,90,1.1
0,90,1.83
0,90,1.4
0,90,1.35
0,90,1.23
0,90,2
